합체,형태소,품사,분류,카운트,절대빈도,
干预_v,干预,v,BILIBILI2,1,6.66756E-06,干预 
平_v,平,v,BILIBILI2,1,6.66756E-06,平 
平会_n,平会,n,BILIBILI2,1,6.66756E-06,平会 
平凡_a,平凡,a,BILIBILI2,1,6.66756E-06,平凡 
平台_n,平台,n,BILIBILI2,6,4.00053E-05,平台 平台 平台 平台 平台 平台 
平均_a,平均,a,BILIBILI2,1,6.66756E-06,平均 
平均年龄_n,平均年龄,n,BILIBILI2,1,6.66756E-06,平均年龄 
平壤_n,平壤,n,BILIBILI2,1,6.66756E-06,平壤 
平安_a,平安,a,BILIBILI2,1,6.66756E-06,平安 
平安南道_ns,平安南道,ns,BILIBILI2,1,6.66756E-06,平安南道 
平常_a,平常,a,BILIBILI2,6,4.00053E-05,平常 平常 平常 平常 平常 平常 
平常心_n,平常心,n,BILIBILI2,1,6.66756E-06,平常心 
平息_n,平息,n,BILIBILI2,1,6.66756E-06,平息 
平方公里_q,平方公里,q,BILIBILI2,2,1.33351E-05,平方公里 平方公里 
平日_t,平日,t,BILIBILI2,1,6.66756E-06,平日 
平时_t,平时,t,BILIBILI2,6,4.00053E-05,平时 平时 平时 平时 平时 平时 
平民_n,平民,n,BILIBILI2,2,1.33351E-05,平民 平民 
平衡_a,平衡,a,BILIBILI2,1,6.66756E-06,平衡 
平衡感_n,平衡感,n,BILIBILI2,1,6.66756E-06,平衡感 
平静下来_i,平静下来,i,BILIBILI2,1,6.66756E-06,平静下来 
年_m,年,m,BILIBILI2,121,0.000806774,年 年 年 年 年 年 年 年 年 年 年 年 年 年 年 年 年 年 年 年 年 年 年 年 年 年 年 年 年 年 年 年 年 年 年 年 年 年 年 年 年 年 年 年 年 年 年 年 年 年 年 年 年 年 年 年 年 年 年 年 年 年 年 年 年 年 年 年 年 年 年 年 年 年 年 年 年 年 年 年 年 年 年 年 年 年 年 年 年 年 年 年 年 年 年 年 年 年 年 年 年 年 年 年 年 年 年 年 年 年 年 年 年 年 年 年 年 年 年 年 年 
年代_t,年代,t,BILIBILI2,10,6.66756E-05,年代 年代 年代 年代 年代 年代 年代 年代 年代 年代 
年初_t,年初,t,BILIBILI2,4,2.66702E-05,年初 年初 年初 年初 
年前_t,年前,t,BILIBILI2,20,0.000133351,年前 年前 年前 年前 年前 年前 年前 年前 年前 年前 年前 年前 年前 年前 年前 年前 年前 年前 年前 年前 
年半_t,年半,t,BILIBILI2,1,6.66756E-06,年半 
年后_t,年后,t,BILIBILI2,17,0.000113348,年后 年后 年后 年后 年后 年后 年后 年后 年后 年后 年后 年后 年后 年后 年后 年后 年后 
年团_n,年团,n,BILIBILI2,1,6.66756E-06,年团 
年少_v,年少,v,BILIBILI2,1,6.66756E-06,年少 
年少无知_l,年少无知,l,BILIBILI2,1,6.66756E-06,年少无知 
年底_t,年底,t,BILIBILI2,3,2.00027E-05,年底 年底 年底 
年糕_n,年糕,n,BILIBILI2,1,6.66756E-06,年糕 
年纪_t,年纪,t,BILIBILI2,22,0.000146686,年纪 年纪 年纪 年纪 年纪 年纪 年纪 年纪 年纪 年纪 年纪 年纪 年纪 年纪 年纪 年纪 年纪 年纪 年纪 年纪 年纪 年纪 
年纪轻轻_l,年纪轻轻,l,BILIBILI2,1,6.66756E-06,年纪轻轻 
年老_n,年老,n,BILIBILI2,1,6.66756E-06,年老 
年轻_a,年轻,a,BILIBILI2,12,8.00107E-05,年轻 年轻 年轻 年轻 年轻 年轻 年轻 年轻 年轻 年轻 年轻 年轻 
年轻一代_n,年轻一代,n,BILIBILI2,2,1.33351E-05,年轻一代 年轻一代 
年轻人_n,年轻人,n,BILIBILI2,47,0.000313375,年轻人 年轻人 年轻人 年轻人 年轻人 年轻人 年轻人 年轻人 年轻人 年轻人 年轻人 年轻人 年轻人 年轻人 年轻人 年轻人 年轻人 年轻人 年轻人 年轻人 年轻人 年轻人 年轻人 年轻人 年轻人 年轻人 年轻人 年轻人 年轻人 年轻人 年轻人 年轻人 年轻人 年轻人 年轻人 年轻人 年轻人 年轻人 年轻人 年轻人 年轻人 年轻人 年轻人 年轻人 年轻人 年轻人 年轻人 
年间_t,年间,t,BILIBILI2,1,6.66756E-06,年间 
年青_n,年青,n,BILIBILI2,1,6.66756E-06,年青 
年龄_n,年龄,n,BILIBILI2,7,4.66729E-05,年龄 年龄 年龄 年龄 年龄 年龄 年龄 
并_c,并,c,BILIBILI2,55,0.000366716,并 并 并 并 并 并 并 并 并 并 并 并 并 并 并 并 并 并 并 并 并 并 并 并 并 并 并 并 并 并 并 并 并 并 并 并 并 并 并 并 并 并 并 并 并 并 并 并 并 并 并 并 并 并 并 
并且_c,并且,c,BILIBILI2,15,0.000100013,并且 并且 并且 并且 并且 并且 并且 并且 并且 并且 并且 并且 并且 并且 并且 
并列_v,并列,v,BILIBILI2,1,6.66756E-06,并列 
并非_c,并非,c,BILIBILI2,3,2.00027E-05,并非 并非 并非 
幸亏_d,幸亏,d,BILIBILI2,4,2.66702E-05,幸亏 幸亏 幸亏 幸亏 
幸好_a,幸好,a,BILIBILI2,12,8.00107E-05,幸好 幸好 幸好 幸好 幸好 幸好 幸好 幸好 幸好 幸好 幸好 幸好 
幸存_v,幸存,v,BILIBILI2,1,6.66756E-06,幸存 
幸災樂禍_i,幸災樂禍,i,BILIBILI2,1,6.66756E-06,幸災樂禍 
幸福_a,幸福,a,BILIBILI2,17,0.000113348,幸福 幸福 幸福 幸福 幸福 幸福 幸福 幸福 幸福 幸福 幸福 幸福 幸福 幸福 幸福 幸福 幸福 
幸福生活_i,幸福生活,i,BILIBILI2,4,2.66702E-05,幸福生活 幸福生活 幸福生活 幸福生活 
幺_nr,幺,nr,BILIBILI2,1,6.66756E-06,幺 
幻_vg,幻,vg,BILIBILI2,1,6.66756E-06,幻 
幻想_n,幻想,n,BILIBILI2,6,4.00053E-05,幻想 幻想 幻想 幻想 幻想 幻想 
幼稚_a,幼稚,a,BILIBILI2,2,1.33351E-05,幼稚 幼稚 
幽默_a,幽默,a,BILIBILI2,1,6.66756E-06,幽默 
幾個_m,幾個,m,BILIBILI2,2,1.33351E-05,幾個 幾個 
幾種_m,幾種,m,BILIBILI2,1,6.66756E-06,幾種 
广场_n,广场,n,BILIBILI2,2,1.33351E-05,广场 广场 
广大群众_nr,广大群众,nr,BILIBILI2,1,6.66756E-06,广大群众 
广播_vn,广播,vn,BILIBILI2,2,1.33351E-05,广播 广播 
广泛_a,广泛,a,BILIBILI2,1,6.66756E-06,广泛 
广电_nz,广电,nz,BILIBILI2,1,6.66756E-06,广电 
庄严肃穆_nr,庄严肃穆,nr,BILIBILI2,1,6.66756E-06,庄严肃穆 
庆幸_v,庆幸,v,BILIBILI2,3,2.00027E-05,庆幸 庆幸 庆幸 
庆祝_v,庆祝,v,BILIBILI2,4,2.66702E-05,庆祝 庆祝 庆祝 庆祝 
庇护_v,庇护,v,BILIBILI2,1,6.66756E-06,庇护 
床_n,床,n,BILIBILI2,1,6.66756E-06,床 
床上_n,床上,n,BILIBILI2,1,6.66756E-06,床上 
应_v,应,v,BILIBILI2,11,7.33431E-05,应 应 应 应 应 应 应 应 应 应 应 
应当_v,应当,v,BILIBILI2,2,1.33351E-05,应当 应当 
应援_v,应援,v,BILIBILI2,7,4.66729E-05,应援 应援 应援 应援 应援 应援 应援 
应景_n,应景,n,BILIBILI2,1,6.66756E-06,应景 
应该_v,应该,v,BILIBILI2,172,0.00114682,应该 应该 应该 应该 应该 应该 应该 应该 应该 应该 应该 应该 应该 应该 应该 应该 应该 应该 应该 应该 应该 应该 应该 应该 应该 应该 应该 应该 应该 应该 应该 应该 应该 应该 应该 应该 应该 应该 应该 应该 应该 应该 应该 应该 应该 应该 应该 应该 应该 应该 应该 应该 应该 应该 应该 应该 应该 应该 应该 应该 应该 应该 应该 应该 应该 应该 应该 应该 应该 应该 应该 应该 应该 应该 应该 应该 应该 应该 应该 应该 应该 应该 应该 应该 应该 应该 应该 应该 应该 应该 应该 应该 应该 应该 应该 应该 应该 应该 应该 应该 应该 应该 应该 应该 应该 应该 应该 应该 应该 应该 应该 应该 应该 应该 应该 应该 应该 应该 应该 应该 应该 应该 应该 应该 应该 应该 应该 应该 应该 应该 应该 应该 应该 应该 应该 应该 应该 应该 应该 应该 应该 应该 应该 应该 应该 应该 应该 应该 应该 应该 应该 应该 应该 应该 应该 应该 应该 应该 应该 应该 应该 应该 应该 应该 应该 应该 应该 应该 应该 应该 应该 应该 
底下_f,底下,f,BILIBILI2,21,0.000140019,底下 底下 底下 底下 底下 底下 底下 底下 底下 底下 底下 底下 底下 底下 底下 底下 底下 底下 底下 底下 底下 
底线_n,底线,n,BILIBILI2,67,0.000446726,底线 底线 底线 底线 底线 底线 底线 底线 底线 底线 底线 底线 底线 底线 底线 底线 底线 底线 底线 底线 底线 底线 底线 底线 底线 底线 底线 底线 底线 底线 底线 底线 底线 底线 底线 底线 底线 底线 底线 底线 底线 底线 底线 底线 底线 底线 底线 底线 底线 底线 底线 底线 底线 底线 底线 底线 底线 底线 底线 底线 底线 底线 底线 底线 底线 底线 底线 
店_n,店,n,BILIBILI2,1,6.66756E-06,店 
庞大_a,庞大,a,BILIBILI2,2,1.33351E-05,庞大 庞大 
废_v,废,v,BILIBILI2,3,2.00027E-05,废 废 废 
废到_v,废到,v,BILIBILI2,1,6.66756E-06,废到 
废墟_n,废墟,n,BILIBILI2,1,6.66756E-06,废墟 
废物_n,废物,n,BILIBILI2,3,2.00027E-05,废物 废物 废物 
废物利用_n,废物利用,n,BILIBILI2,1,6.66756E-06,废物利用 
废虾_n,废虾,n,BILIBILI2,1,6.66756E-06,废虾 
废蛋_n,废蛋,n,BILIBILI2,1,6.66756E-06,废蛋 
废话_n,废话,n,BILIBILI2,3,2.00027E-05,废话 废话 废话 
度_q,度,q,BILIBILI2,5,3.33378E-05,度 度 度 度 度 
度日_n,度日,n,BILIBILI2,1,6.66756E-06,度日 
度线_n,度线,n,BILIBILI2,1,6.66756E-06,度线 
座右铭_nr,座右铭,nr,BILIBILI2,1,6.66756E-06,座右铭 
康_nr,康,nr,BILIBILI2,1,6.66756E-06,康 
康康_nr,康康,nr,BILIBILI2,4,2.66702E-05,康康 康康 康康 康康 
廉价_n,廉价,n,BILIBILI2,1,6.66756E-06,廉价 
廚餘_n,廚餘,n,BILIBILI2,1,6.66756E-06,廚餘 
延长_v,延长,v,BILIBILI2,1,6.66756E-06,延长 
建_v,建,v,BILIBILI2,4,2.66702E-05,建 建 建 建 
建国_ns,建国,ns,BILIBILI2,3,2.00027E-05,建国 建国 建国 
建国初期_nz,建国初期,nz,BILIBILI2,1,6.66756E-06,建国初期 
建城_n,建城,n,BILIBILI2,1,6.66756E-06,建城 
建立_v,建立,v,BILIBILI2,8,5.33404E-05,建立 建立 建立 建立 建立 建立 建立 建立 
建立健全_nr,建立健全,nr,BILIBILI2,1,6.66756E-06,建立健全 
建议_n,建议,n,BILIBILI2,77,0.000513402,建议 建议 建议 建议 建议 建议 建议 建议 建议 建议 建议 建议 建议 建议 建议 建议 建议 建议 建议 建议 建议 建议 建议 建议 建议 建议 建议 建议 建议 建议 建议 建议 建议 建议 建议 建议 建议 建议 建议 建议 建议 建议 建议 建议 建议 建议 建议 建议 建议 建议 建议 建议 建议 建议 建议 建议 建议 建议 建议 建议 建议 建议 建议 建议 建议 建议 建议 建议 建议 建议 建议 建议 建议 建议 建议 建议 建议 
建设_vn,建设,vn,BILIBILI2,1,6.66756E-06,建设 
开_v,开,v,BILIBILI2,16,0.000106681,开 开 开 开 开 开 开 开 开 开 开 开 开 开 开 开 
开了花_i,开了花,i,BILIBILI2,1,6.66756E-06,开了花 
开出_v,开出,v,BILIBILI2,1,6.66756E-06,开出 
开到_v,开到,v,BILIBILI2,15,0.000100013,开到 开到 开到 开到 开到 开到 开到 开到 开到 开到 开到 开到 开到 开到 开到 
开口闭口_n,开口闭口,n,BILIBILI2,2,1.33351E-05,开口闭口 开口闭口 
开启_v,开启,v,BILIBILI2,1,6.66756E-06,开启 
开嘴_v,开嘴,v,BILIBILI2,1,6.66756E-06,开嘴 
开头_v,开头,v,BILIBILI2,2,1.33351E-05,开头 开头 
开始_v,开始,v,BILIBILI2,66,0.000440059,开始 开始 开始 开始 开始 开始 开始 开始 开始 开始 开始 开始 开始 开始 开始 开始 开始 开始 开始 开始 开始 开始 开始 开始 开始 开始 开始 开始 开始 开始 开始 开始 开始 开始 开始 开始 开始 开始 开始 开始 开始 开始 开始 开始 开始 开始 开始 开始 开始 开始 开始 开始 开始 开始 开始 开始 开始 开始 开始 开始 开始 开始 开始 开始 开始 开始 
开导_v,开导,v,BILIBILI2,1,6.66756E-06,开导 
开心_v,开心,v,BILIBILI2,15,0.000100013,开心 开心 开心 开心 开心 开心 开心 开心 开心 开心 开心 开心 开心 开心 开心 
开战_v,开战,v,BILIBILI2,4,2.66702E-05,开战 开战 开战 开战 
开拓_v,开拓,v,BILIBILI2,2,1.33351E-05,开拓 开拓 
开拓市场_n,开拓市场,n,BILIBILI2,1,6.66756E-06,开拓市场 
开放_v,开放,v,BILIBILI2,2,1.33351E-05,开放 开放 
开枪_v,开枪,v,BILIBILI2,2,1.33351E-05,开枪 开枪 
开玩笑_v,开玩笑,v,BILIBILI2,1,6.66756E-06,开玩笑 
开箱_n,开箱,n,BILIBILI2,2,1.33351E-05,开箱 开箱 
开脱_v,开脱,v,BILIBILI2,4,2.66702E-05,开脱 开脱 开脱 开脱 
开膛_n,开膛,n,BILIBILI2,1,6.66756E-06,开膛 
开赴_v,开赴,v,BILIBILI2,1,6.66756E-06,开赴 
开辟_v,开辟,v,BILIBILI2,2,1.33351E-05,开辟 开辟 
开进_v,开进,v,BILIBILI2,1,6.66756E-06,开进 
开采_v,开采,v,BILIBILI2,2,1.33351E-05,开采 开采 
开门_v,开门,v,BILIBILI2,1,6.66756E-06,开门 
开除_v,开除,v,BILIBILI2,4,2.66702E-05,开除 开除 开除 开除 
异化_n,异化,n,BILIBILI2,2,1.33351E-05,异化 异化 
异国_n,异国,n,BILIBILI2,2,1.33351E-05,异国 异国 
异国他乡_l,异国他乡,l,BILIBILI2,17,0.000113348,异国他乡 异国他乡 异国他乡 异国他乡 异国他乡 异国他乡 异国他乡 异国他乡 异国他乡 异国他乡 异国他乡 异国他乡 异国他乡 异国他乡 异国他乡 异国他乡 异国他乡 
异国恋_n,异国恋,n,BILIBILI2,1,6.66756E-06,异国恋 
异土_n,异土,n,BILIBILI2,1,6.66756E-06,异土 
异心_n,异心,n,BILIBILI2,1,6.66756E-06,异心 
异样_d,异样,d,BILIBILI2,1,6.66756E-06,异样 
弃_vg,弃,vg,BILIBILI2,2,1.33351E-05,弃 弃 
弄_v,弄,v,BILIBILI2,4,2.66702E-05,弄 弄 弄 弄 
弄死_v,弄死,v,BILIBILI2,1,6.66756E-06,弄死 
弄混_v,弄混,v,BILIBILI2,1,6.66756E-06,弄混 
式_k,式,k,BILIBILI2,8,5.33404E-05,式 式 式 式 式 式 式 式 
式_ng,式,ng,BILIBILI2,1,6.66756E-06,式 
弔_yg,弔,yg,BILIBILI2,1,6.66756E-06,弔 
引_v,引,v,BILIBILI2,1,6.66756E-06,引 
引以为傲_i,引以为傲,i,BILIBILI2,2,1.33351E-05,引以为傲 引以为傲 
引发_v,引发,v,BILIBILI2,5,3.33378E-05,引发 引发 引发 引发 引发 
引导_v,引导,v,BILIBILI2,10,6.66756E-05,引导 引导 引导 引导 引导 引导 引导 引导 引导 引导 
引得_v,引得,v,BILIBILI2,1,6.66756E-06,引得 
引战_v,引战,v,BILIBILI2,2,1.33351E-05,引战 引战 
引来_v,引来,v,BILIBILI2,2,1.33351E-05,引来 引来 
引流_v,引流,v,BILIBILI2,1,6.66756E-06,引流 
引火上身_i,引火上身,i,BILIBILI2,1,6.66756E-06,引火上身 
引爆_v,引爆,v,BILIBILI2,2,1.33351E-05,引爆 引爆 
引用_v,引用,v,BILIBILI2,1,6.66756E-06,引用 
引起_v,引起,v,BILIBILI2,3,2.00027E-05,引起 引起 引起 
引起争议_l,引起争议,l,BILIBILI2,2,1.33351E-05,引起争议 引起争议 
引路人_n,引路人,n,BILIBILI2,1,6.66756E-06,引路人 
弗_nr,弗,nr,BILIBILI2,1,6.66756E-06,弗 
弗利_nrt,弗利,nrt,BILIBILI2,31,0.000206694,弗利 弗利 弗利 弗利 弗利 弗利 弗利 弗利 弗利 弗利 弗利 弗利 弗利 弗利 弗利 弗利 弗利 弗利 弗利 弗利 弗利 弗利 弗利 弗利 弗利 弗利 弗利 弗利 弗利 弗利 弗利 
弗里_nrt,弗里,nrt,BILIBILI2,1,6.66756E-06,弗里 
弗里特_nrt,弗里特,nrt,BILIBILI2,59,0.000393386,弗里特 弗里特 弗里特 弗里特 弗里特 弗里特 弗里特 弗里特 弗里特 弗里特 弗里特 弗里特 弗里特 弗里特 弗里特 弗里特 弗里特 弗里特 弗里特 弗里特 弗里特 弗里特 弗里特 弗里特 弗里特 弗里特 弗里特 弗里特 弗里特 弗里特 弗里特 弗里特 弗里特 弗里特 弗里特 弗里特 弗里特 弗里特 弗里特 弗里特 弗里特 弗里特 弗里特 弗里特 弗里特 弗里特 弗里特 弗里特 弗里特 弗里特 弗里特 弗里特 弗里特 弗里特 弗里特 弗里特 弗里特 弗里特 弗里特 
弟_n,弟,n,BILIBILI2,3,2.00027E-05,弟 弟 弟 
弟兄们_n,弟兄们,n,BILIBILI2,1,6.66756E-06,弟兄们 
弟弟_n,弟弟,n,BILIBILI2,2,1.33351E-05,弟弟 弟弟 
张_nr,张,nr,BILIBILI2,2,1.33351E-05,张 张 
张_q,张,q,BILIBILI2,2,1.33351E-05,张 张 
张口_nr,张口,nr,BILIBILI2,4,2.66702E-05,张口 张口 张口 张口 
张嘴_nr,张嘴,nr,BILIBILI2,1,6.66756E-06,张嘴 
张国强_nr,张国强,nr,BILIBILI2,1,6.66756E-06,张国强 
张开嘴巴_nr,张开嘴巴,nr,BILIBILI2,1,6.66756E-06,张开嘴巴 
张毅_nr,张毅,nr,BILIBILI2,1,6.66756E-06,张毅 
张艺兴_nr,张艺兴,nr,BILIBILI2,1,6.66756E-06,张艺兴 
弯_v,弯,v,BILIBILI2,2,1.33351E-05,弯 弯 
弱小_n,弱小,n,BILIBILI2,1,6.66756E-06,弱小 
弱弱_a,弱弱,a,BILIBILI2,1,6.66756E-06,弱弱 
弱智_n,弱智,n,BILIBILI2,4,2.66702E-05,弱智 弱智 弱智 弱智 
弱点_n,弱点,n,BILIBILI2,1,6.66756E-06,弱点 
弹_n,弹,n,BILIBILI2,4,2.66702E-05,弹 弹 弹 弹 
弹_v,弹,v,BILIBILI2,20,0.000133351,弹 弹 弹 弹 弹 弹 弹 弹 弹 弹 弹 弹 弹 弹 弹 弹 弹 弹 弹 弹 
弹丸之地_i,弹丸之地,i,BILIBILI2,2,1.33351E-05,弹丸之地 弹丸之地 
弹国_n,弹国,n,BILIBILI2,1,6.66756E-06,弹国 
弹壳_n,弹壳,n,BILIBILI2,2,1.33351E-05,弹壳 弹壳 
弹孔_n,弹孔,n,BILIBILI2,1,6.66756E-06,弹孔 
弹幕_n,弹幕,n,BILIBILI2,18,0.000120016,弹幕 弹幕 弹幕 弹幕 弹幕 弹幕 弹幕 弹幕 弹幕 弹幕 弹幕 弹幕 弹幕 弹幕 弹幕 弹幕 弹幕 弹幕 
弹弓_n,弹弓,n,BILIBILI2,1,6.66756E-06,弹弓 
弹片_n,弹片,n,BILIBILI2,4,2.66702E-05,弹片 弹片 弹片 弹片 
弹药_n,弹药,n,BILIBILI2,52,0.000346713,弹药 弹药 弹药 弹药 弹药 弹药 弹药 弹药 弹药 弹药 弹药 弹药 弹药 弹药 弹药 弹药 弹药 弹药 弹药 弹药 弹药 弹药 弹药 弹药 弹药 弹药 弹药 弹药 弹药 弹药 弹药 弹药 弹药 弹药 弹药 弹药 弹药 弹药 弹药 弹药 弹药 弹药 弹药 弹药 弹药 弹药 弹药 弹药 弹药 弹药 弹药 弹药 
弹道导弹_n,弹道导弹,n,BILIBILI2,1,6.66756E-06,弹道导弹 
强_a,强,a,BILIBILI2,18,0.000120016,强 强 强 强 强 强 强 强 强 强 强 强 强 强 强 强 强 强 
强_v,强,v,BILIBILI2,1,6.66756E-06,强 
强加_v,强加,v,BILIBILI2,2,1.33351E-05,强加 强加 
强国_n,强国,n,BILIBILI2,2,1.33351E-05,强国 强国 
强大_a,强大,a,BILIBILI2,39,0.000260035,强大 强大 强大 强大 强大 强大 强大 强大 强大 强大 强大 强大 强大 强大 强大 强大 强大 强大 强大 强大 强大 强大 强大 强大 强大 强大 强大 强大 强大 强大 强大 强大 强大 强大 强大 强大 强大 强大 强大 
强奸_n,强奸,n,BILIBILI2,1,6.66756E-06,强奸 
强度_n,强度,n,BILIBILI2,1,6.66756E-06,强度 
强推_vn,强推,vn,BILIBILI2,1,6.66756E-06,强推 
强烈_a,强烈,a,BILIBILI2,1,6.66756E-06,强烈 
强烈建议_l,强烈建议,l,BILIBILI2,1,6.66756E-06,强烈建议 
强烈抗议_i,强烈抗议,i,BILIBILI2,1,6.66756E-06,强烈抗议 
强硬_a,强硬,a,BILIBILI2,5,3.33378E-05,强硬 强硬 强硬 强硬 强硬 
强行_v,强行,v,BILIBILI2,5,3.33378E-05,强行 强行 强行 强行 强行 
强调_v,强调,v,BILIBILI2,3,2.00027E-05,强调 强调 强调 
强迫_a,强迫,a,BILIBILI2,1,6.66756E-06,强迫 
彈藥量_n,彈藥量,n,BILIBILI2,1,6.66756E-06,彈藥量 
归_v,归,v,BILIBILI2,4,2.66702E-05,归 归 归 归 
归功于_v,归功于,v,BILIBILI2,2,1.33351E-05,归功于 归功于 
归属_v,归属,v,BILIBILI2,1,6.66756E-06,归属 
归属感_n,归属感,n,BILIBILI2,1,6.66756E-06,归属感 
归来_v,归来,v,BILIBILI2,3,2.00027E-05,归来 归来 归来 
归根到底_l,归根到底,l,BILIBILI2,2,1.33351E-05,归根到底 归根到底 
归零_v,归零,v,BILIBILI2,1,6.66756E-06,归零 
当_p,当,p,BILIBILI2,85,0.000566742,当 当 当 当 当 当 当 当 当 当 当 当 当 当 当 当 当 当 当 当 当 当 当 当 当 当 当 当 当 当 当 当 当 当 当 当 当 当 当 当 当 当 当 当 当 当 当 当 当 当 当 当 当 当 当 当 当 当 当 当 当 当 当 当 当 当 当 当 当 当 当 当 当 当 当 当 当 当 当 当 当 当 当 当 当 
当_t,当,t,BILIBILI2,61,0.000406721,当 当 当 当 当 当 当 当 当 当 当 当 当 当 当 当 当 当 当 当 当 当 当 当 当 当 当 当 当 当 当 当 当 当 当 当 当 当 当 当 当 当 当 当 当 当 当 当 当 当 当 当 当 当 当 当 当 当 当 当 当 
当一回事_i,当一回事,i,BILIBILI2,1,6.66756E-06,当一回事 
当不_d,当不,d,BILIBILI2,1,6.66756E-06,当不 
当不了_t,当不了,t,BILIBILI2,1,6.66756E-06,当不了 
当中_s,当中,s,BILIBILI2,1,6.66756E-06,当中 
当事_n,当事,n,BILIBILI2,1,6.66756E-06,当事 
当事人_n,当事人,n,BILIBILI2,1,6.66756E-06,当事人 
当今_t,当今,t,BILIBILI2,1,6.66756E-06,当今 
当今社会_l,当今社会,l,BILIBILI2,1,6.66756E-06,当今社会 
当作_v,当作,v,BILIBILI2,2,1.33351E-05,当作 当作 
当做_v,当做,v,BILIBILI2,8,5.33404E-05,当做 当做 当做 当做 当做 当做 当做 当做 
当兵_n,当兵,n,BILIBILI2,4,2.66702E-05,当兵 当兵 当兵 当兵 
当初_t,当初,t,BILIBILI2,27,0.000180024,当初 当初 当初 当初 当初 当初 当初 当初 当初 当初 当初 当初 当初 当初 当初 当初 当初 当初 当初 当初 当初 当初 当初 当初 当初 当初 当初 
当前_t,当前,t,BILIBILI2,1,6.66756E-06,当前 
当即_d,当即,d,BILIBILI2,1,6.66756E-06,当即 
当命_v,当命,v,BILIBILI2,1,6.66756E-06,当命 
当回事_i,当回事,i,BILIBILI2,7,4.66729E-05,当回事 当回事 当回事 当回事 当回事 当回事 当回事 
当场_s,当场,s,BILIBILI2,3,2.00027E-05,当场 当场 当场 
当天_t,当天,t,BILIBILI2,3,2.00027E-05,当天 当天 当天 
当局_n,当局,n,BILIBILI2,1,6.66756E-06,当局 
当年_t,当年,t,BILIBILI2,42,0.000280037,当年 当年 当年 当年 当年 当年 当年 当年 当年 当年 当年 当年 当年 当年 当年 当年 当年 当年 当年 当年 当年 当年 当年 当年 当年 当年 当年 当年 当年 当年 当年 当年 当年 当年 当年 当年 当年 当年 当年 当年 当年 当年 
当成_v,当成,v,BILIBILI2,7,4.66729E-05,当成 当成 当成 当成 当成 当成 当成 
当时_t,当时,t,BILIBILI2,61,0.000406721,当时 当时 当时 当时 当时 当时 当时 当时 当时 当时 当时 当时 当时 当时 当时 当时 当时 当时 当时 当时 当时 当时 当时 当时 当时 当时 当时 当时 当时 当时 当时 当时 当时 当时 当时 当时 当时 当时 当时 当时 当时 当时 当时 当时 当时 当时 当时 当时 当时 当时 当时 当时 当时 当时 当时 当时 当时 当时 当时 当时 当时 
当枪_n,当枪,n,BILIBILI2,1,6.66756E-06,当枪 
当炮灰_n,当炮灰,n,BILIBILI2,2,1.33351E-05,当炮灰 当炮灰 
当然_d,当然,d,BILIBILI2,50,0.000333378,当然 当然 当然 当然 当然 当然 当然 当然 当然 当然 当然 当然 当然 当然 当然 当然 当然 当然 当然 当然 当然 当然 当然 当然 当然 当然 当然 当然 当然 当然 当然 当然 当然 当然 当然 当然 当然 当然 当然 当然 当然 当然 当然 当然 当然 当然 当然 当然 当然 当然 
当狗_t,当狗,t,BILIBILI2,1,6.66756E-06,当狗 
当真_d,当真,d,BILIBILI2,1,6.66756E-06,当真 
当红_n,当红,n,BILIBILI2,1,6.66756E-06,当红 
当过_p,当过,p,BILIBILI2,1,6.66756E-06,当过 
当量_n,当量,n,BILIBILI2,1,6.66756E-06,当量 
录_n,录,n,BILIBILI2,1,6.66756E-06,录 
录_zg,录,zg,BILIBILI2,1,6.66756E-06,录 
录像_v,录像,v,BILIBILI2,2,1.33351E-05,录像 录像 
录制_v,录制,v,BILIBILI2,2,1.33351E-05,录制 录制 
形势严峻_i,形势严峻,i,BILIBILI2,1,6.66756E-06,形势严峻 
形容_n,形容,n,BILIBILI2,3,2.00027E-05,形容 形容 形容 
形式_n,形式,n,BILIBILI2,3,2.00027E-05,形式 形式 形式 
形式主义_n,形式主义,n,BILIBILI2,1,6.66756E-06,形式主义 
形成_v,形成,v,BILIBILI2,6,4.00053E-05,形成 形成 形成 形成 形成 形成 
形象_n,形象,n,BILIBILI2,2,1.33351E-05,形象 形象 
形象大使_n,形象大使,n,BILIBILI2,1,6.66756E-06,形象大使 
彭于晏_nr,彭于晏,nr,BILIBILI2,1,6.66756E-06,彭于晏 
彭德怀_nr,彭德怀,nr,BILIBILI2,1,6.66756E-06,彭德怀 
影_vn,影,vn,BILIBILI2,4,2.66702E-05,影 影 影 影 
影响_vn,影响,vn,BILIBILI2,27,0.000180024,影响 影响 影响 影响 影响 影响 影响 影响 影响 影响 影响 影响 影响 影响 影响 影响 影响 影响 影响 影响 影响 影响 影响 影响 影响 影响 影响 
影响力_n,影响力,n,BILIBILI2,14,9.33458E-05,影响力 影响力 影响力 影响力 影响力 影响力 影响力 影响力 影响力 影响力 影响力 影响力 影响力 影响力 
影子_n,影子,n,BILIBILI2,1,6.66756E-06,影子 
影片_n,影片,n,BILIBILI2,1,6.66756E-06,影片 
影视_n,影视,n,BILIBILI2,1,6.66756E-06,影视 
影视作品_n,影视作品,n,BILIBILI2,1,6.66756E-06,影视作品 
影视剧_n,影视剧,n,BILIBILI2,1,6.66756E-06,影视剧 
